0,115,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,174,116,173,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170
ACCAq Project Cost,Missile System Cost,RDT&E Cost,Air Vehicle Cost,"Propulsion (Stages I...n,] Cost",Payload Cost,Airframe Cost,Reentry System Cost,Post Boost System Cost,Guidance and Control Cost,Ordnance Initiation Set Cost,Airborne Test Equipment Cost,Airborne Training Equipment Cost,Auxiliary Equipment Cost,"Integration, Assembly, Test and Checkout Cost",Command and Launch Cost,"Surveillance, Identification and Tracking Sensors Cost",Launch and Guidance Control Cost,Communications Cost,Command and Launch Applications Software Cost,Command and Launch System Software Cost,Launcher Equipment Cost,Auxiliary Equipment Cost,Systems Engineering/Program Management Cost,System Test and Evaluation Cost,Development Test and Evaluation Cost,Operational Test and Evaluation Cost,Mockups Cost,Test and Evaluation Support Cost,Test Facilities Cost,Training Cost,Equipment Cost,Services Cost,Facilities Cost,Data Cost,Technical Publications Cost,Engineering Data Cost,Management Data Cost,Support Data Cost,Data Depository Cost,Peculiar Support Equipment Cost,Test and Measurement Equipment Cost,Support and Handling Equipment Cost,Common Support Equipment Cost,Test and Measurement Equipment Cost,Support and Handling Equipment Cost,Operational/Site Activation Cost,"System Assembly, Installation and Checkout on Site Cost",Contractor Technical Support Cost,Site Construction Cost,Site/Ship/Vehicle Conversion Cost,Industrial Facilities Cost,Construction/Conversion/Expansion Cost,Equipment Acquisition or Modernization Cost,Maintenance (Industrial Facilities) Cost,Initial Spares and Repair Parts Cost,RDT&E End Date Cost,Procurement Cost,Procurement Start Date Cost,Air Vehicle Cost,"Propulsion (Stages I...n,] Cost",Payload Cost,Airframe Cost,Reentry System Cost,Post Boost System Cost,Guidance and Control Cost,Ordnance Initiation Set Cost,Airborne Test Equipment Cost,Airborne Training Equipment Cost,Auxiliary Equipment Cost,"Integration, Assembly, Test and Checkout Cost",Command and Launch Cost,"Surveillance, Identification and Tracking Sensors Cost",Launch and Guidance Control Cost,Communications Cost,Command and Launch Applications Software Cost,Command and Launch System Software Cost,Launcher Equipment Cost,Auxiliary Equipment Cost,Systems Engineering/Program Management Cost,System Test and Evaluation Cost,Development Test and Evaluation Cost,Operational Test and Evaluation Cost,Mockups Cost,Test and Evaluation Support Cost,Test Facilities Cost,Training Cost,Equipment Cost,Services Cost,Facilities Cost,Data Cost,Technical Publications Cost,Engineering Data Cost,Management Data Cost,Support Data Cost,Data Depository Cost,Peculiar Support Equipment Cost,Test and Measurement Equipment Cost,Support and Handling Equipment Cost,Common Support Equipment Cost,Test and Measurement Equipment Cost,Support and Handling Equipment Cost,Operational/Site Activation Cost,"System Assembly, Installation and Checkout on Site Cost",Contractor Technical Support Cost,Site Construction Cost,Site/Ship/Vehicle Conversion Cost,Industrial Facilities Cost,Construction/Conversion/Expansion Cost,Equipment Acquisition or Modernization Cost,Maintenance (Industrial Facilities) Cost,Initial Spares and Repair Parts Cost
1410000000,1410000000,209000000,71000000,613801,6930000,7190000,17200000,2560000,3240000,1850000,258518,13600000,6210000,11300000,32400000,2080000,1420000,18100000,1780000,4990000,1640000,2400000,0,19600000,5460000,3240000,4600000,3680000,2590000,10300000,1760000,3490000,5020000,21900000,4960000,6170000,1380000,3340000,6000000,10400000,5820000,4570000,5300000,2490000,2810000,17200000,4770000,6580000,4500000,1400000,5900000,1260000,1710000,2930000,15600000,0,1200000000,0,446000000,87100000,55900000,61700000,28700000,5650000,7060000,3160000,498223,24500000,17100000,76400000,224000000,17000000,16700000,15600000,17200000,23800000,49000000,49500000,0,52100000,14300000,10500000,10900000,9320000,7140000,19900000,4210000,8510000,7150000,41900000,11200000,9190000,2790000,7950000,10800000,14700000,8310000,6400000,146000000,7730000,139000000,84500000,19400000,32000000,19700000,13400000,126000000,29300000,30800000,34600000,48200000
1390000000,1390000000,221000000,66200000,582796,6140000,7460000,21100000,2910000,2060000,1230000,199821,11000000,6040000,7480000,31800000,2460000,1150000,13700000,1690000,6690000,1610000,4520000,0,27100000,4850000,4710000,8070000,5850000,3590000,8990000,1870000,2950000,4160000,24500000,5780000,6640000,1770000,4110000,6170000,11800000,5700000,6140000,7220000,3220000,4000000,20200000,6200000,6690000,5700000,1640000,6180000,1370000,1530000,3290000,16800000,0,1170000000,0,480000000,99600000,58900000,73000000,32100000,5650000,7110000,3740000,638322,30400000,16800000,74400000,199000000,16700000,13900000,12700000,16800000,20900000,41100000,42400000,0,48700000,12700000,8270000,10600000,11200000,5890000,17700000,3050000,6220000,8450000,35400000,8180000,9270000,2570000,6320000,9010000,16900000,8920000,7990000,133000000,9210000,123000000,64300000,15500000,20400000,17500000,11000000,132000000,33800000,33500000,32700000,42800000
1420000000,1420000000,220000000,72900000,13600000,4330000,5630000,16400000,1630000,2160000,1210000,177976,12900000,5770000,9060000,42100000,2420000,1220000,25200000,2360000,5520000,2060000,3280000,0,21900000,5870000,3880000,5530000,3500000,3160000,7830000,1530000,2920000,3380000,19400000,3720000,5660000,1540000,3230000,5230000,10000000,5090000,4930000,8970000,4130000,4840000,17300000,4480000,6660000,4860000,1330000,4570000,965698,1020000,2580000,15400000,0,1200000000,0,418000000,82500000,62200000,56000000,22200000,4600000,5860000,2890000,423397,28100000,13800000,60300000,215000000,15700000,16100000,17500000,18900000,23100000,44400000,44600000,0,45500000,10200000,9570000,11400000,8300000,6020000,14500000,3030000,4210000,7260000,38800000,10100000,8400000,2200000,6900000,11200000,18100000,8130000,9970000,141000000,7360000,133000000,70400000,18700000,24100000,16500000,11200000,186000000,40500000,54500000,58900000,54800000
1380000000,1380000000,231000000,84400000,10600000,7380000,8940000,11700000,3060000,3350000,1700000,248688,16100000,12700000,8490000,41400000,1900000,1680000,21200000,4160000,7810000,2200000,2390000,0,15000000,3760000,2500000,4170000,2900000,1720000,12000000,2540000,4660000,4750000,23000000,5520000,5280000,1590000,4140000,6440000,7180000,3770000,3410000,6010000,3220000,2790000,18800000,6130000,6200000,5130000,1320000,6930000,2230000,1360000,3330000,16900000,0,1150000000,0,378000000,80700000,53000000,35000000,21800000,5280000,5440000,2840000,487101,22700000,14300000,59700000,209000000,15300000,17700000,14900000,18500000,19800000,40900000,47300000,0,49500000,12300000,9050000,13400000,8870000,5860000,19000000,3340000,7130000,8490000,27400000,6840000,5980000,1710000,5550000,7350000,13600000,7550000,6010000,189000000,9860000,179000000,79000000,18000000,26100000,20100000,14800000,137000000,32800000,33100000,39200000,47300000
1420000000,1420000000,222000000,58100000,441575,4460000,6370000,13000000,2120000,1780000,1400000,186160,11900000,6800000,9600000,46700000,1900000,1390000,22200000,4930000,10400000,2410000,3520000,0,23700000,5870000,5380000,5370000,4190000,2870000,9830000,1750000,3100000,4990000,23100000,6100000,4810000,1550000,4140000,6550000,10200000,5260000,4970000,4800000,2430000,2370000,19800000,4870000,8120000,5630000,1160000,5710000,1520000,1220000,2970000,20400000,0,1200000000,0,377000000,68700000,56400000,50500000,19200000,4750000,5090000,2410000,425425,22800000,12900000,55700000,223000000,14800000,15800000,19900000,17300000,23400000,40700000,55900000,0,54900000,11800000,10900000,14800000,11100000,6260000,18400000,3230000,5940000,9220000,35000000,7610000,8900000,2130000,6860000,9460000,14700000,7740000,6970000,189000000,8020000,181000000,71500000,17400000,23100000,20000000,10900000,166000000,43300000,52400000,38300000,45500000
1290000000,1290000000,184000000,47500000,528786,4480000,4850000,13800000,1600000,2470000,1000000,163025,7970000,2990000,7600000,36800000,2910000,1480000,19700000,2370000,5160000,2270000,2940000,0,18000000,4080000,2910000,4540000,3620000,2860000,8120000,1510000,2780000,3830000,19800000,4290000,4520000,1860000,3840000,5260000,9310000,4810000,4490000,5580000,2200000,3380000,19300000,5170000,7280000,5470000,1340000,4540000,1160000,1130000,2260000,15400000,0,1100000000,0,363000000,74700000,54000000,39400000,21900000,4940000,5160000,2700000,449421,22300000,11400000,49900000,209000000,15700000,16600000,15200000,16000000,20900000,40100000,50500000,0,46100000,10800000,8790000,13000000,8060000,5410000,15900000,2870000,7630000,5390000,41400000,10900000,8910000,2560000,8040000,10900000,16500000,8810000,7650000,135000000,7260000,128000000,82100000,20800000,26900000,20800000,13600000,144000000,36300000,31700000,44300000,48200000
1640000000,1640000000,261000000,77900000,12500000,7710000,6760000,15000000,2320000,3530000,1350000,294585,11600000,6090000,10800000,42800000,2650000,1750000,17600000,4630000,10900000,1510000,3760000,0,21200000,5440000,3210000,5770000,3950000,2850000,13200000,2550000,4780000,5870000,32500000,7510000,8070000,2330000,5300000,9270000,9170000,3860000,5300000,5720000,2730000,2990000,25100000,7690000,9320000,6160000,1960000,8200000,2080000,1740000,4380000,25200000,0,1370000000,0,599000000,132000000,89500000,76800000,34300000,7320000,8950000,4050000,692023,37200000,19100000,108000000,214000000,17000000,17000000,14000000,16100000,21000000,40800000,52200000,0,49600000,12100000,8990000,14600000,8030000,5880000,16700000,3460000,6160000,7050000,45900000,10700000,12200000,2820000,8790000,11400000,19100000,11100000,8020000,160000000,7640000,153000000,69100000,15700000,22800000,18200000,12400000,158000000,41700000,38900000,44900000,43100000
1700000000,1700000000,236000000,51800000,678988,5590000,5950000,9030000,1820000,2740000,1060000,269493,10100000,7590000,6940000,51300000,2660000,2340000,21900000,5680000,11700000,2530000,4480000,0,24200000,5000000,4280000,6560000,5600000,2800000,8480000,1660000,3030000,3790000,30300000,6910000,6240000,2340000,6000000,8860000,13100000,7250000,5810000,8540000,3860000,4680000,24900000,6300000,9210000,7600000,1830000,5460000,1080000,1350000,3030000,17900000,0,1460000000,0,538000000,112000000,83400000,70500000,31700000,6890000,8700000,4160000,661112,34800000,17600000,87100000,225000000,18100000,17600000,15800000,16500000,23100000,53100000,45400000,0,66400000,16800000,11900000,15700000,11900000,10200000,21800000,3340000,8090000,10400000,42800000,10300000,10300000,2910000,7580000,11700000,18200000,8880000,9350000,198000000,10100000,187000000,107000000,26100000,35600000,25600000,19600000,178000000,49600000,46000000,50000000,68300000
